mdd_order,region,pop
ARTIODACTYLA,rest of Asia,171673711
ARTIODACTYLA,China,267890967
ARTIODACTYLA,India,242447433
ARTIODACTYLA,Southeast Asia,190553881
ARTIODACTYLA,Africa,365807400
ARTIODACTYLA,Central America and Caribbean,114040893
ARTIODACTYLA,South America,141207681
ARTIODACTYLA,Europe,441480158
ARTIODACTYLA,North America,216504731
CARNIVORA,rest of Asia,301362355
CARNIVORA,China,465401320
CARNIVORA,India,311970047
CARNIVORA,Southeast Asia,182066404
CARNIVORA,Africa,358027519
CARNIVORA,Oceania,137
CARNIVORA,Central America and Caribbean,113899278
CARNIVORA,South America,125052497
CARNIVORA,Europe,499471315
CARNIVORA,North America,218150485
CHIROPTERA,rest of Asia,209326962
CHIROPTERA,China,399130078
CHIROPTERA,India,311640090
CHIROPTERA,Southeast Asia,332652780
CHIROPTERA,Africa,738083624
CHIROPTERA,Oceania,17856093
CHIROPTERA,Central America and Caribbean,138904082
CHIROPTERA,South America,260459125
CHIROPTERA,Europe,493837370
CHIROPTERA,North America,181322354
CINGULATA,Central America and Caribbean,96053988
CINGULATA,South America,241334567
CINGULATA,North America,75106419
DIDELPHIMORPHIA,Central America and Caribbean,107125425
DIDELPHIMORPHIA,South America,241446041
DIDELPHIMORPHIA,North America,155113713
EULIPOTYPHLA,rest of Asia,180759366
EULIPOTYPHLA,China,239189341
EULIPOTYPHLA,India,310474020
EULIPOTYPHLA,Southeast Asia,110871610
EULIPOTYPHLA,Africa,326832588
EULIPOTYPHLA,Europe,435799834
EULIPOTYPHLA,North America,71817664
HYRACOIDEA,Africa,196217101
LAGOMORPHA,rest of Asia,20644399
LAGOMORPHA,China,5504039
LAGOMORPHA,India,25234
LAGOMORPHA,Africa,15896111
LAGOMORPHA,Central America and Caribbean,40476766
LAGOMORPHA,South America,9106066
LAGOMORPHA,Europe,165908345
LAGOMORPHA,North America,96017258
PERISSODACTYLA,rest of Asia,1568250
PERISSODACTYLA,India,2366079
PERISSODACTYLA,Africa,60343834
PERISSODACTYLA,South America,32384523
PILOSA,Central America and Caribbean,11546059
PILOSA,South America,78515064
PRIMATES,rest of Asia,105103583
PRIMATES,China,376883675
PRIMATES,India,308598531
PRIMATES,Southeast Asia,244643324
PRIMATES,Africa,484116809
PRIMATES,Central America and Caribbean,25211372
PRIMATES,South America,42765539
PRIMATES,Europe,16470
PROBOSCIDEA,rest of Asia,26439366
PROBOSCIDEA,China,1176559
PROBOSCIDEA,India,47858677
PROBOSCIDEA,Southeast Asia,41588167
PROBOSCIDEA,Africa,77145177
RODENTIA,rest of Asia,300415751
RODENTIA,China,465456796
RODENTIA,India,312014928
RODENTIA,Southeast Asia,323464815
RODENTIA,Africa,779095156
RODENTIA,Oceania,7854036
RODENTIA,Central America and Caribbean,76706795
RODENTIA,South America,133978755
RODENTIA,Europe,500039656
RODENTIA,North America,173120266
